Type,Trans Date,Post Date,Description,Amount
SALE,02/11/2016,02/12/2016,"FS *Bjango",-25.00
SALE,01/22/2016,01/24/2016,"MEZZANINE",-23.00
SALE,01/27/2016,01/29/2016,"STARBELLY",-70.07
SALE,01/29/2016,01/31/2016,"BERGERAC/AUDIO",-32.00
SALE,02/12/2016,02/14/2016,"AISLE 1 #450",-18.11
SALE,01/26/2016,01/28/2016,"PAPPY'S GRILL AND",-30.00
SALE,02/21/2016,02/22/2016,"BRUNO'S RESTAURANT",-35.00
SALE,02/02/2016,02/04/2016,"COMMUNITY UTILITY BILLING",-75.51
PAYMENT,01/23/2016,01/24/2016,"Payment Thank You - Web",630.00
SALE,01/28/2016,01/29/2016,"UBER TECHNOLOGIES INC",-6.33
SALE,02/06/2016,02/07/2016,"LYFT   *RIDE SAT 2AM",-10.85
SALE,02/07/2016,02/08/2016,"Amazon.com",-29.35
SALE,02/14/2016,02/15/2016,"SQ *BOREAL / SODA SPRINGS",-23.00
SALE,02/09/2016,02/10/2016,"CHIPOTLE 0138",-16.74
SALE,02/06/2016,02/08/2016,"LYFT   *RIDE SAT 4PM",-3.28
SALE,02/08/2016,02/09/2016,"Amazon.com",-6.98
SALE,02/06/2016,02/07/2016,"UBER TECHNOLOGIES INC",-6.92
SALE,02/07/2016,02/09/2016,"SAFEWAY  STORE00009951",-140.00
SALE,02/09/2016,02/10/2016,"Amazon Prime Now Tips",-2.00
PAYMENT,02/08/2016,02/08/2016,"Payment Thank You-Mobile",521.05
SALE,01/28/2016,01/29/2016,"UBER TECHNOLOGIES INC",-4.75
SALE,01/24/2016,01/25/2016,"UBER TECHNOLOGIES INC",-3.80
SALE,01/23/2016,01/24/2016,"LYFT   *RIDE SAT 11AM",-5.15
SALE,02/14/2016,02/16/2016,"BOREAL FOOD CRT",-15.30
SALE,02/12/2016,02/15/2016,"TORCH OF INDIA # 2",-96.54
SALE,01/22/2016,01/24/2016,"Amazon Prime Now",-45.56
SALE,02/09/2016,02/11/2016,"SMART ALECS INTELLIGENT F",-9.09
SALE,02/08/2016,02/09/2016,"LYFT   *RIDE SUN 1PM",-10.78
SALE,01/20/2016,01/22/2016,"SAFEWAY  STORE00009951",-90.82
SALE,02/01/2016,02/02/2016,"SQ *THE GROVE, YERBA BUEN",-11.78
SALE,01/27/2016,01/28/2016,"LYFT   *RIDE TUE 11PM",-30.32
SALE,01/22/2016,01/24/2016,"LYFT   *RIDE THU 9PM",-5.00
SALE,02/15/2016,02/16/2016,"CCSF MTA IPS PRKNG METER",-2.62
SALE,01/17/2016,01/18/2016,"LV MAR",-629.52
SALE,02/12/2016,02/14/2016,"LYFT   *RIDE THU 9PM",-2.85
SALE,02/20/2016,02/22/2016,"BRUNO'S RESTAURANT",-28.00
SALE,01/25/2016,01/26/2016,"MIXT GREENS",-13.38
SALE,01/31/2016,02/01/2016,"PANDA EXPRESS #145",-2.61
SALE,01/23/2016,01/24/2016,"BRUNO'S RESTAURANT",-15.05
SALE,01/22/2016,01/24/2016,"SAFEWAY  STORE00009951",-97.02
SALE,01/26/2016,01/28/2016,"CAFE DURANT",-11.30
SALE,02/07/2016,02/08/2016,"Amazon Prime Now",-26.24
SALE,02/14/2016,02/16/2016,"YARD HOUSE 83300083311",-153.03
SALE,02/20/2016,02/21/2016,"PIZZERIA DELFINA",-20.00
SALE,02/11/2016,02/14/2016,"AYOLA - MONTGOMERY",-8.65
SALE,02/20/2016,02/21/2016,"LYFT   *RIDE FRI 9AM",-5.60
SALE,01/23/2016,01/25/2016,"LYFT   *RIDE SAT 10PM",-5.06
SALE,01/26/2016,01/27/2016,"TAVA INDIAN KITCHEN",-10.09
SALE,02/03/2016,02/07/2016,"SAFEWAY  STORE00009936",-17.53
SALE,01/30/2016,02/01/2016,"SAFEWAY  STORE00009951",-2.94
SALE,01/28/2016,01/29/2016,"UBER TECHNOLOGIES INC",-4.75
SALE,01/27/2016,01/29/2016,"SAFEWAY  STORE00009951",-46.63
SALE,02/16/2016,02/17/2016,"CHIPOTLE 0138",-8.32
SALE,01/17/2016,01/19/2016,"SAFEWAY  STORE00009951",-21.38
SALE,02/06/2016,02/07/2016,"EB ASHANTI JA RULE AT",-100.70
SALE,02/04/2016,02/07/2016,"PALOMINO",-68.36
SALE,02/15/2016,02/17/2016,"LYFT   *RIDE MON 8PM",-9.45
SALE,01/22/2016,01/24/2016,"LYFT   *RIDE FRI 10AM",-5.41
SALE,01/27/2016,01/28/2016,"LYFT   *RIDE WED 10AM",-9.99
SALE,01/21/2016,01/22/2016,"LYFT   *RIDE THU 8PM",-5.06
SALE,02/09/2016,02/10/2016,"EATSA",-7.84
SALE,02/04/2016,02/04/2016,"AMAZON MKTPLACE PMTS",-24.49
SALE,01/27/2016,01/28/2016,"COLE HARDWARE",-8.68
SALE,01/22/2016,01/24/2016,"LYFT   *RIDE FRI 7PM",-5.00
SALE,01/26/2016,01/28/2016,"EUREKA BERKELEY",-69.87
SALE,01/19/2016,01/20/2016,"CHIPOTLE 0138",-16.74
SALE,01/23/2016,01/24/2016,"LYFT   *RIDE SAT 5PM",-12.75
SALE,02/01/2016,02/02/2016,"CHIPOTLE 0138",-8.42
SALE,01/22/2016,01/24/2016,"BIERE RESTAURANT & LOU",-16.00
SALE,01/22/2016,01/24/2016,"BIERE RESTAURANT & LOU",-26.00
SALE,02/06/2016,02/07/2016,"LYFT   *RIDE SAT 2PM",-3.80
SALE,02/10/2016,02/11/2016,"THE TAP HAUS",-33.00
SALE,01/22/2016,01/24/2016,"LYFT   *RIDE FRI 1AM",-5.00
SALE,02/04/2016,02/07/2016,"NEW MING`S RESTAURANT",-16.10
SALE,02/13/2016,02/14/2016,"SANDS MAIN BAR",-15.00
SALE,02/19/2016,02/21/2016,"LYFT   *RIDE FRI 10PM",-6.00
SALE,01/23/2016,01/24/2016,"LYFT   *RIDE SAT 3AM",-8.26
SALE,01/26/2016,01/29/2016,"KIPS RESTAURANT",-8.00
SALE,02/19/2016,02/21/2016,"LYFT   *RIDE FRI 8PM",-6.00
SALE,01/29/2016,01/31/2016,"LYFT   *RIDE FRI 7PM",-5.00
SALE,01/28/2016,01/29/2016,"CHIPOTLE 0138",-8.32
SALE,02/20/2016,02/22/2016,"LE GARAGE BISTRO",-36.00
SALE,02/17/2016,02/18/2016,"ES-audiosf 8009270939",-34.06
SALE,01/23/2016,01/24/2016,"LYFT   *RIDE SAT 8PM",-5.00
SALE,02/13/2016,02/15/2016,"PETRO SPARKS",-18.00
SALE,01/23/2016,01/24/2016,"LYFT   *RIDE SAT 4PM",-6.08
SALE,01/24/2016,01/25/2016,"JUKELY CONCERTS",-25.00
SALE,02/15/2016,02/17/2016,"LYFT   *RIDE MON 10PM",-8.56
SALE,01/23/2016,01/24/2016,"BRUNO'S RESTAURANT",-44.15
SALE,01/29/2016,01/31/2016,"UBER TECHNOLOGIES INC",-5.75
SALE,02/06/2016,02/08/2016,"IKE'S PLACE",-15.17
SALE,01/28/2016,01/29/2016,"AMAZON MKTPLACE PMTS",-29.99
SALE,01/23/2016,01/24/2016,"LYFT   *RIDE FRI 9PM",-9.42
PAYMENT,02/03/2016,02/03/2016,"Payment Thank You - Web",316.44
SALE,02/19/2016,02/22/2016,"AMC METREON 16 #2325",-27.18
PAYMENT,02/01/2016,02/01/2016,"Payment Thank You - Web",190.38
SALE,02/11/2016,02/12/2016,"LIFT TICKETS LIFTOPIA.",-201.98
SALE,01/25/2016,01/26/2016,"UBER TECHNOLOGIES INC",-5.35
SALE,01/24/2016,01/26/2016,"CEASE & DESIST",-51.97
SALE,01/30/2016,02/01/2016,"NEWS N DISCOUNT CIGARETTE",-19.58
PAYMENT,02/02/2016,02/02/2016,"Payment Thank You - Web",255.85
SALE,01/30/2016,01/31/2016,"CITY OF SAUSALITO",-2.25
SALE,02/07/2016,02/08/2016,"LYFT   *RIDE SUN 12PM",-4.66
SALE,02/08/2016,02/09/2016,"Amazon.com",-20.19
SALE,01/27/2016,01/28/2016,"CHIPOTLE 0138",-8.32
SALE,02/19/2016,02/21/2016,"H&M #101",-4.44
SALE,02/10/2016,02/10/2016,"CL *CHASE TRAVEL",-237.80
SALE,02/06/2016,02/07/2016,"EB ASHANTI JA RULE AT",-80.10
SALE,02/17/2016,02/18/2016,"NETFLIX.COM",-7.99
SALE,01/29/2016,02/01/2016,"DNA PIZZA",-6.47
SALE,01/31/2016,02/02/2016,"ZARA USA 3611",-17.49
SALE,02/15/2016,02/16/2016,"CCSF MTA IPS PRKNG METER",-2.75
SALE,02/11/2016,02/14/2016,"LAST DROP TAVERN",-21.76
SALE,02/20/2016,02/22/2016,"LYFT   *RIDE SAT 4PM",-5.00
SALE,02/09/2016,02/10/2016,"Amazon.com",-163.07
PAYMENT,02/05/2016,02/05/2016,"Payment Thank You - Web",257.47
SALE,02/05/2016,02/07/2016,"BRUNO'S RESTAURANT",-33.36
SALE,02/05/2016,02/08/2016,"SUSHI DELIGHT",-521.05
SALE,01/30/2016,01/31/2016,"VENICE GOURMET",-10.36
SALE,01/20/2016,01/21/2016,"SQ *SENOR SISIG",-11.32
SALE,01/31/2016,02/02/2016,"LYFT   *RIDE SUN 10PM",-6.13
SALE,02/04/2016,02/05/2016,"Spotify USA",-4.99
SALE,01/27/2016,01/28/2016,"SQ *SIGHTGLASS COFF",-4.00
SALE,02/13/2016,02/15/2016,"SR CABANA CAFE",-7.53
SALE,01/29/2016,01/31/2016,"UBER TECHNOLOGIES INC",-4.75
SALE,02/05/2016,02/07/2016,"BRUNO'S RESTAURANT",-20.23
SALE,01/31/2016,02/02/2016,"DOO BU",-28.00
SALE,01/29/2016,02/01/2016,"SOMA PIZZA",-4.78
SALE,02/03/2016,02/04/2016,"PERILLA",-11.97
